,location,Radius,covered_nodes,Total_nodes_covered
0,"[623.692033527345, -942.6335217381672]",330.6574497242316,"['275676979', '275676982', '330653399', '330654081', '330654083', '330654107', '330654114', '330654123', '330654130', '330654139', '330780592', '330780864', '330780866', '330798589', '330798628', '330798629', '330798631', '330798633', '330798634', '330798635', '330798636', '2158634730', '2166703022', '2168356812', '4690195811', '4690195816', '10038642609', '10038642610', '10038642616']",29
1,"[442.2913887066534, -79.68648850289173]",315.4891092669267,"['268789869', '268789870', '268789874', '268789875', '268789926', '268789939', '268789985', '268789987', '330576289', '330593476', '330593480', '330593497', '330593501', '330593514', '330593520', '330593523', '330593548', '330593595', '330593601', '330593612', '330593618', '330593624', '330593641', '330593646', '330593651', '330593656', '330593661', '330593666', '330593675', '330593688', '330593697', '330593701', '330593710', '330593716', '330612021', '330612026', '330612027', '330612039', '330612040', '330612044', '330612049', '330779489', '330779492']",43
2,"[-15.193428061346488, -162.4550560216559]",317.9291768282458,"['268789969', '268789971', '268789973', '268789976', '268789979', '268789985', '268789987', '268789988', '268789990', '268789999', '268790000', '268790010', '268790030', '304913244', '304913245', '304913248', '304914011', '330576364', '330593595', '330593601', '330593605', '330593612', '330612027', '330612029', '330612032', '330612039', '330612040', '330612044', '330612046', '330612049', '330612053', '330612289', '330612298', '330648003', '330653141', '330653166', '330653179', '330653184', '330653246', '330653290', '330653324', '330774715', '330774716', '3371735080', '3405118745']",45
3,"[-721.0083344139857, -659.9607050290797]",380.2981444611591,"['275676971', '330648038', '330648048', '330648051', '330648061', '330648065', '330648098', '330648694', '330648697', '330653958', '330780901', '330783601', '330783605', '330798362', '330798365', '672642689', '2018053792', '5391143596', '5391143604']",19
4,"[-211.7037900745213, -761.6941382386119]",312.26382805152184,"['268790016', '268790019', '275675438', '275675439', '275675440', '275675441', '275676971', '330648058', '330653241', '330653249', '330653262', '330653267', '330653884', '330653893', '330653923', '330653928', '330653967', '330653976', '330653978', '330653986', '330653996', '330653997', '330654000', '330654010', '330654012', '330780144', '330780155', '330780161', '330780202', '330783605', '670703094', '670703101', '670703151', '670703205', '670703217', '670703264', '672642687', '672642688', '672642689', '2164168482', '2166694704', '2166694709', '2166694714', '2166694715', '2167078771']",45
5,"[643.0150221435077, 158.8456143560361]",272.39095653382515,"['268789868', '268789869', '268789870', '268789882', '268789920', '268789940', '268789950', '268789954', '268789961', '268789963', '330576253', '330576261', '330576280', '330576289', '330576404', '330576439', '330576446', '330576488', '330576496', '330582202', '330593428', '330593447', '330593456', '330593460', '330593466', '330593476', '330593480', '330593497', '330593501', '330593509', '330593514', '330593520', '330593523', '330593675', '330593697', '2164208476', '2164208484', '3248842465', '3248842469', '3248842475', '3248842476', '3248842477']",42
6,"[365.55591799048864, 262.75192704216914]",296.7901859636137,"['268789869', '268789870', '268789881', '268789882', '268789926', '268789939', '268789940', '330576253', '330576261', '330576280', '330576289', '330576404', '330576439', '330576446', '330576488', '330576496', '330593476', '330593480', '330593514', '330593520', '330593523', '330593548', '330593612', '330593618', '330593624', '330593641', '330593646', '330593651', '330593656', '330593661', '330593666', '330593675', '330593688', '330593701', '6773818263', '6773818264']",36
7,"[557.6540827809679, -483.9085710002479]",347.9957833199971,"['330612026', '330653384', '330653399', '330653426', '330779492', '330798634', '330798635', '330798636', '2166694720', '2166694724', '2166703022', '2293922421', '3405091168', '7024847607']",14
8,"[63.451139312718254, -567.5657276731638]",330.8045330987465,"['268789969', '268789971', '268789973', '268789976', '268789979', '268790010', '268790016', '268790030', '268790035', '275675438', '275675439', '275675440', '275675441', '304913245', '330648003', '330653141', '330653166', '330653179', '330653184', '330653236', '330653241', '330653246', '330653249', '330653262', '330653267', '330653271', '330653290', '330653296', '330653303', '330653324', '330653353', '330653884', '330653976', '330653978', '330653986', '330653996', '330653997', '330654000', '330654003', '330654010', '330654012', '330774715', '330774716', '330780144', '330780155', '330780161', '330780167', '330780202', '330780203', '670703101', '670703151', '670703205', '670703217', '2164168482', '2166694704', '2166694709', '2166694714', '2166694715', '2166694720', '2166694724', '2166694728', '2166694752', '2167078774', '3405091168', '7024847607']",65
9,"[885.3292151728529, 122.47572722611949]",331.5183481407109,"['268789868', '268789869', '268789920', '268789950', '268789954', '330582170', '330582189', '330582202', '330593428', '330593447', '330593456', '330593460', '330593466', '330593480', '330593497', '330593501', '330593509', '2164208476', '2164208484', '3248842465', '3248842469', '3248842472', '3248842473', '3248842475', '3248842476', '3248842477', '3248842479']",27
10,"[875.1772232579798, 707.4515208447079]",319.29489143451764,"['268789860', '268789861', '268789877', '268789879', '268789880', '268789942', '268789944', '330576035', '330576044', '330576053', '330576059', '330576066', '330576156', '330576503', '330576530', '330576539', '330576568', '330576592', '330576637', '330576647', '330576671', '330576678', '330576694', '330576715', '330576733', '330576745', '330576757', '330576765', '330576770', '330576811', '330576821', '330576830', '330582157', '330582170', '330582193', '330593389', '330593397', '3248845375', '3371735058', '3371735059', '3371735060', '3371735062', '3371735063', '3371735085', '3371735086', '3371735087', '3405055667', '3405055668']",48
11,"[797.758691194795, 549.620772925619]",316.1663068234348,"['268789860', '268789861', '268789880', '268789881', '268789882', '268789920', '268789944', '268789950', '268789954', '268789961', '268789963', '330576035', '330576044', '330576053', '330576059', '330576066', '330576156', '330576404', '330576503', '330576530', '330576539', '330576568', '330576592', '330576637', '330576647', '330576671', '330576678', '330576715', '330576733', '330576745', '330576757', '330576765', '330576770', '330576811', '330576821', '330576830', '330582157', '330582170', '330582189', '330582193', '330582202', '330593389', '330593397', '330593447', '330593456', '330593460', '330593466', '2164208484', '3248842465', '3248842469', '3248842472', '3248842473', '3248842476', '3248842477', '3248842479', '3371735058', '3371735059', '3371735060', '3371735062', '3371735063', '3371735085', '3371735086', '3371735087', '3405055667', '3405055668', '6773818263', '6773818264']",67
12,"[-539.9242407072074, -297.89320568546447]",323.7936554530564,"['268790019', '304914007', '330612299', '330648024', '330648038', '330648048', '330648058', '330648061', '330648065', '330648075', '330648108', '330648111', '330648114', '330648117', '330648694', '330653928', '330653958', '330798362', '330798365', '672642687']",20
13,"[184.27289411072195, -1027.3322067299773]",327.57584570704597,"['275675440', '275675441', '275676975', '275676976', '275676977', '275676979', '330653996', '330654000', '330654003', '330654005', '330654009', '330654010', '330654012', '330654038', '330654075', '330654081', '330654083', '330654139', '330654144', '330654147', '330654149', '330654150', '330780144', '330780592', '330798589', '2164168453', '2164168463', '2166694709', '2167078769', '2167078770', '2167078771', '2167078772', '2167078773', '2167078774', '4690195811', '4690195816', '6590511582', '7025461280']",38
14,"[980.8716989574175, 1056.6582240163034]",285.30043245452754,"['268789836', '268789860', '268789877', '268789942', '268789959', '268790945', '330576637', '330576647', '330576694', '330576715', '3248845375', '3263038277', '3371735058']",13
